time,elpsec,O2Hb_1,HHb_1,TOI_1,nTHI_1,O2Hb_2,HHb_2,TOI_2,nTHI_2,O2Hb_3,HHb_3,TOI_3,nTHI_3,O2Hb_4,HHb_4,TOI_4,nTHI_4,Comment
18:25,4664.61,5.24,-4.33,66.2,1.006,3.98,-4.95,66,0.978,2.9,-3.05,69.7,0.924,2.1,-1.12,80.8,1.063,
18:25,4664.81,3.35,-5.87,66.2,1.01,2.81,-6.09,66.1,0.975,2.22,-2.87,68.4,0.907,3.28,-0.21,81.2,1.133,
18:25,4665.01,6.1,-3.83,66.5,1.022,5.74,-4.3,66.4,1.024,3.03,-2.3,68,0.922,2.71,-0.69,81.3,1.124,
18:25,4665.21,10.06,-1.03,67.7,1.029,6.05,-3.67,66.5,1.026,2.63,-3.31,69.8,0.897,0.35,-2.3,80.7,1.039,
18:25,4665.41,11.26,-0.34,68.3,1.02,5.66,-3.57,68.1,1.03,3.36,-3.62,70.1,0.928,2.02,-1.36,80.8,0.996,
18:25,4665.61,4.78,-4.18,65.7,1.013,3.87,-4.79,66,0.971,3.1,-2.99,70.6,0.925,2.33,-0.89,80.7,1.074,
18:25,4665.81,3.41,-5.22,65.8,1.014,3.21,-5.36,65.6,0.996,2.55,-2.62,68.6,0.915,3.51,-0.02,81.1,1.135,
18:25,4666.01,6.63,-2.97,66.8,1.03,5.89,-3.79,66.2,1.032,3.6,-2.52,70.9,0.936,2.65,-0.66,80.9,1.125,
18:25,4666.21,11.13,0.2,67.5,1.039,6.22,-3.18,66.3,1.039,2.87,-3.36,69.8,0.903,0.39,-2.35,80.5,1.023,
18:25,4666.41,10.61,-0.43,67.9,1.022,5.32,-3.18,66.4,1.038,3.64,-3.34,70,0.944,2.16,-1.24,80.7,1.006,
18:25,4666.61,4.02,-4.06,65.3,1.024,3.39,-4.72,65.3,0.975,2.59,-2.74,69,0.912,2.44,-0.72,80.4,1.087,
18:25,4666.81,3.62,-4.66,65.6,1.019,3.78,-5.05,65.8,1.012,3.01,-2.42,69.2,0.915,3.72,0.11,81,1.141,
18:25,4667.01,6.95,-2.27,66.6,1.035,6.06,-3.52,66.2,1.031,3.3,-2.42,69.4,0.919,2.41,-0.81,80.8,1.125,
18:25,4667.21,11.21,0.63,67.2,1.039,5.98,-2.97,66.2,1.037,2.98,-3.46,70.3,0.913,0.35,-2.34,80.3,1.013,
18:25,4667.41,9.68,-0.63,67,1.015,5.14,-3.31,66.5,1.031,3.79,-3.11,69.8,0.969,2.29,-1.08,80.6,1.019,
18:25,4667.61,3.83,-3.82,65,1.023,3.08,-4.63,64.5,0.97,2.44,-2.52,67.9,0.921,2.64,-0.53,80.4,1.103,
18:25,4667.81,3.48,-4.61,66.1,1.013,3.94,-4.71,65.3,1.009,3.46,-2.47,70.8,0.916,3.7,0.13,81,1.136,
18:25,4668.01,6.9,-2.03,66.7,1.033,5.76,-3.37,65.3,1.032,3.29,-2.58,70.5,0.928,2.06,-0.99,80.7,1.116,
18:25,4668.21,11.33,0.75,67.8,1.037,5.87,-2.85,66.1,1.042,2.79,-3.6,70,0.898,0.38,-2.3,80.2,1.007,
18:25,4668.41,8.74,-1.11,66.8,1.005,4.7,-3.43,65.7,1.01,3.43,-3.46,70.5,0.926,2.08,-1.14,80.4,1.018,
18:25,4668.61,2.81,-4.39,65.7,1.02,2.6,-4.61,63.8,0.972,2.59,-2.6,69.2,0.919,2.59,-0.51,80.4,1.107,
18:25,4668.81,3.41,-4.38,65.9,1.017,3.91,-4.51,64.8,1.014,3.41,-2.6,70.8,0.913,3.54,0,81.1,1.138,
18:25,4669.01,6.96,-1.9,66.6,1.033,5.88,-3.17,65.2,1.033,3.22,-2.72,70,0.9,2.27,-0.94,80.8,1.112,
18:25,4669.21,10.92,0.82,67.3,1.029,5.46,-2.74,65.6,1.038,2.7,-3.97,71.2,0.877,0.16,-2.48,80.4,0.99,
18:25,4669.41,7.76,-1.55,66.6,1.001,4.71,-3.26,65.3,1.016,3.21,-3.52,70.5,0.896,2.03,-1.12,80.3,1.024,
18:25,4669.61,1.67,-5.17,65.6,1.015,2.38,-4.91,64.2,0.967,2.37,-2.91,69.5,0.877,2.72,-0.39,80.6,1.121,
